127.0.0.1 - - [18/Apr/2020:21:17:12 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Apr/2020:21:17:14 +0900] "GET /ex20200413/list.jsp HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [18/Apr/2020:21:17:15 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [18/Apr/2020:21:18:06 +0900] "GET /ex20200413/insert.jsp HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [18/Apr/2020:21:18:15 +0900] "GET /ex20200413/read.jsp?bno=3 HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [18/Apr/2020:21:18:19 +0900] "GET /ex20200413/list.jsp HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [18/Apr/2020:21:18:54 +0900] "GET /ex20200413/insert.jsp HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [18/Apr/2020:21:18:56 +0900] "GET /ex20200413/sqlInsert.jsp?title=&content= HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [18/Apr/2020:21:19:00 +0900] "GET /ex20200413/list.jsp HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [18/Apr/2020:21:27:44 +0900] "GET /ex20200413/read.jsp?bno=1 HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [18/Apr/2020:21:28:44 +0900] "GET /ex20200413/read.jsp?bno=1 HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [18/Apr/2020:21:29:21 +0900] "GET /ex20200413/read.jsp?bno=1 HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [18/Apr/2020:21:32:42 +0900] "GET /ex20200413/read.jsp?bno=1 HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [18/Apr/2020:21:33:17 +0900] "GET /ex20200413/read.jsp?bno=41 HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [18/Apr/2020:21:38:23 +0900] "GET /ex20200413/insert.jsp HTTP/1.1" 200 389
