127.0.0.1 - - [05/May/2020:14:46:28 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/May/2020:14:46:31 +0900] "GET /ex20200504/list.jsp HTTP/1.1" 200 2048
0:0:0:0:0:0:0:1 - - [05/May/2020:14:46:31 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [05/May/2020:14:46:31 +0900] "GET /ex20200504/json.jsp HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [05/May/2020:15:16:56 +0900] "GET /ex20200504/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2020:15:16:56 +0900] "GET /ex20200504/js/scripts.js HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [05/May/2020:15:16:56 +0900] "GET /ex20200504/ee22.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2020:15:16:57 +0900] "GET /ex20200504/json.jsp HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [05/May/2020:15:16:57 +0900] "GET /ex20200504/sjson.jsp HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [05/May/2020:15:57:18 +0900] "GET /ex20200504/list.jsp HTTP/1.1" 200 2048
0:0:0:0:0:0:0:1 - - [05/May/2020:15:57:18 +0900] "GET /ex20200504/json.jsp HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [05/May/2020:15:57:18 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [05/May/2020:15:57:42 +0900] "GET /ex20200504/list.jsp HTTP/1.1" 200 2051
0:0:0:0:0:0:0:1 - - [05/May/2020:15:57:42 +0900] "GET /ex20200504/json.jsp HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [05/May/2020:15:57:42 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
